LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
Internet of Things	1.00	0.9672	0.0000	0.0000	0.0000
Social Networks	0.00	0.1490	0.1490	1.0000	0.2594
Social Networks	0.05	0.2097	0.1586	1.0000	0.2738
Social Networks	0.10	0.4293	0.2070	0.9978	0.3429
Social Networks	0.15	0.6763	0.3159	0.9892	0.4783
Social Networks	0.20	0.8879	0.5763	0.9677	0.7212
Social Networks	0.25	0.9461	0.7594	0.9353	0.8377
Social Networks	0.30	0.9560	0.8145	0.9181	0.8615
Social Networks	0.35	0.9608	0.8528	0.8965	0.8724
Social Networks	0.40	0.9608	0.8779	0.8600	0.8675
Social Networks	0.45	0.9595	0.9013	0.8212	0.8578
Social Networks	0.50	0.9573	0.9057	0.7996	0.8481
Social Networks	0.55	0.9531	0.9117	0.7608	0.8283
Social Networks	0.60	0.9470	0.9312	0.6984	0.7967
Social Networks	0.65	0.9406	0.9467	0.6402	0.7613
Social Networks	0.70	0.9316	0.9510	0.5735	0.7126
Social Networks	0.75	0.9233	0.9553	0.5109	0.6637
Social Networks	0.80	0.9162	0.9713	0.4528	0.6145
Social Networks	0.85	0.9050	0.9854	0.3687	0.5333
Social Networks	0.90	0.8908	0.9848	0.2717	0.4238
Social Networks	0.95	0.8706	0.9678	0.1359	0.2359
Social Networks	1.00	0.8510	0.0000	0.0000	0.0000
Battery	0.00	0.0202	0.0202	1.0000	0.0397
Battery	0.05	0.9236	0.2144	0.9846	0.3502
Battery	0.10	0.9840	0.5762	0.9372	0.7076
Battery	0.15	0.9872	0.6434	0.9064	0.7459
Battery	0.20	0.9881	0.6681	0.8897	0.7556
Battery	0.25	0.9888	0.6931	0.8731	0.7629
Battery	0.30	0.9881	0.6891	0.8269	0.7414
Battery	0.35	0.9894	0.7211	0.8269	0.7622
Battery	0.40	0.9894	0.7273	0.8102	0.7590
Battery	0.45	0.9891	0.7247	0.7769	0.7437
Battery	0.50	0.9884	0.7215	0.7295	0.7184
Battery	0.55	0.9881	0.7354	0.6654	0.6934
Battery	0.60	0.9868	0.7365	0.5705	0.6379
Battery	0.65	0.9878	0.7945	0.5539	0.6477
Battery	0.70	0.9859	0.7701	0.4590	0.5664
Battery	0.75	0.9862	0.7941	0.4436	0.5641
Battery	0.80	0.9843	0.8076	0.3192	0.4438
Battery	0.85	0.9833	0.6067	0.2577	0.3608
Battery	0.90	0.9827	0.6100	0.2090	0.3103
Battery	0.95	0.9810	0.6000	0.0821	0.1429
Battery	1.00	0.9798	0.0000	0.0000	0.0000
Driverless Cars	0.00	0.0430	0.0430	1.0000	0.0825
Driverless Cars	0.05	0.8006	0.1907	1.0000	0.3168
Driverless Cars	0.10	0.9852	0.7502	0.9926	0.8534
Driverless Cars	0.15	0.9910	0.8384	0.9852	0.9048
Driverless Cars	0.20	0.9914	0.8524	0.9704	0.9065
Driverless Cars	0.25	0.9930	0.8808	0.9704	0.9227
Driverless Cars	0.30	0.9933	0.9029	0.9481	0.9241
Driverless Cars	0.35	0.9939	0.9215	0.9404	0.9300
Driverless Cars	0.40	0.9942	0.9344	0.9330	0.9328
Driverless Cars	0.45	0.9939	0.9405	0.9182	0.9279
Driverless Cars	0.50	0.9926	0.9446	0.8812	0.9089
Driverless Cars	0.55	0.9923	0.9574	0.8590	0.9028
Driverless Cars	0.60	0.9917	0.9570	0.8439	0.8943
Driverless Cars	0.65	0.9901	0.9534	0.8068	0.8701
Driverless Cars	0.70	0.9881	0.9585	0.7544	0.8371
Driverless Cars	0.75	0.9869	0.9686	0.7168	0.8157
Driverless Cars	0.80	0.9843	0.9633	0.6573	0.7689
Driverless Cars	0.85	0.9801	0.9504	0.5601	0.6905
Driverless Cars	0.90	0.9765	0.9457	0.4704	0.6135
Driverless Cars	0.95	0.9692	0.9133	0.2974	0.4304
Driverless Cars	1.00	0.9570	0.0000	0.0000	0.0000
Wearable Tech	0.00	0.0703	0.0703	1.0000	0.1314
Wearable Tech	0.05	0.1156	0.0734	0.9953	0.1367
Wearable Tech	0.10	0.7906	0.2490	0.9544	0.3937
Wearable Tech	0.15	0.9194	0.4683	0.9269	0.6201
Wearable Tech	0.20	0.9393	0.5466	0.9041	0.6790
Wearable Tech	0.25	0.9477	0.6001	0.8721	0.7061
Wearable Tech	0.30	0.9541	0.6409	0.8585	0.7287
Wearable Tech	0.35	0.9589	0.6827	0.8356	0.7446
Wearable Tech	0.40	0.9631	0.7276	0.7947	0.7533
Wearable Tech	0.45	0.9705	0.8100	0.7764	0.7878
Wearable Tech	0.50	0.9711	0.8373	0.7354	0.7808
Wearable Tech	0.55	0.9714	0.8678	0.6989	0.7721
Wearable Tech	0.60	0.9711	0.9083	0.6533	0.7588
Wearable Tech	0.65	0.9695	0.9172	0.6214	0.7396
Wearable Tech	0.70	0.9679	0.9549	0.5712	0.7132
Wearable Tech	0.75	0.9640	0.9503	0.5163	0.6679
Wearable Tech	0.80	0.9602	0.9613	0.4523	0.6145
Wearable Tech	0.85	0.9560	0.9857	0.3792	0.5465
Wearable Tech	0.90	0.9499	0.9833	0.2925	0.4498
Wearable Tech	0.95	0.9419	0.9800	0.1783	0.2957
Wearable Tech	1.00	0.9297	0.0000	0.0000	0.0000
Virtual Reality and Augmented Reality	0.00	0.0282	0.0282	1.0000	0.0550
Virtual Reality and Augmented Reality	0.05	0.6409	0.0745	0.9667	0.1376
Virtual Reality and Augmented Reality	0.10	0.9297	0.2826	0.8882	0.4213
Virtual Reality and Augmented Reality	0.15	0.9467	0.3407	0.7850	0.4643
Virtual Reality and Augmented Reality	0.20	0.9631	0.4388	0.7503	0.5441
Virtual Reality and Augmented Reality	0.25	0.9685	0.4876	0.7163	0.5702
Virtual Reality and Augmented Reality	0.30	0.9708	0.5183	0.7163	0.5891
Virtual Reality and Augmented Reality	0.35	0.9721	0.5372	0.6824	0.5850
Virtual Reality and Augmented Reality	0.40	0.9733	0.5590	0.6477	0.5822
Virtual Reality and Augmented Reality	0.45	0.9746	0.5652	0.6033	0.5613
Virtual Reality and Augmented Reality	0.50	0.9749	0.5808	0.5798	0.5540
Virtual Reality and Augmented Reality	0.55	0.9759	0.6115	0.5235	0.5266
Virtual Reality and Augmented Reality	0.60	0.9753	0.5966	0.4438	0.4776
Virtual Reality and Augmented Reality	0.65	0.9769	0.7026	0.4209	0.4708
Virtual Reality and Augmented Reality	0.70	0.9763	0.6921	0.3752	0.4384
Virtual Reality and Augmented Reality	0.75	0.9762	0.7152	0.3183	0.4044
Virtual Reality and Augmented Reality	0.80	0.9759	0.7371	0.2614	0.3562
Virtual Reality and Augmented Reality	0.85	0.9756	0.7511	0.2150	0.3151
Virtual Reality and Augmented Reality	0.90	0.9759	0.8083	0.2039	0.3091
Virtual Reality and Augmented Reality	0.95	0.9746	0.6267	0.1484	0.2363
Virtual Reality and Augmented Reality	1.00	0.9718	0.0000	0.0000	0.0000
Drone	0.00	0.0465	0.0465	1.0000	0.0890
Drone	0.05	0.3118	0.0635	1.0000	0.1195
Drone	0.10	0.9470	0.4795	0.9793	0.6396
Drone	0.15	0.9743	0.6626	0.9724	0.7836
Drone	0.20	0.9794	0.7210	0.9448	0.8128
Drone	0.25	0.9823	0.7568	0.9448	0.8347
Drone	0.30	0.9820	0.7614	0.9172	0.8266
Drone	0.35	0.9823	0.7722	0.8965	0.8259
Drone	0.40	0.9810	0.7798	0.8345	0.8032
Drone	0.45	0.9794	0.7784	0.7862	0.7800
Drone	0.50	0.9765	0.7731	0.7103	0.7369
Drone	0.55	0.9746	0.7699	0.6552	0.7053
Drone	0.60	0.9753	0.8030	0.6345	0.7050
Drone	0.65	0.9759	0.8377	0.6069	0.6999
Drone	0.70	0.9740	0.8322	0.5586	0.6657
Drone	0.75	0.9724	0.8511	0.4965	0.6259
Drone	0.80	0.9704	0.8596	0.4414	0.5790
Drone	0.85	0.9688	0.8784	0.3931	0.5389
Drone	0.90	0.9679	0.8968	0.3517	0.5037
Drone	0.95	0.9634	0.9214	0.2345	0.3731
Drone	1.00	0.9535	0.0000	0.0000	0.0000
NanoTech	0.00	0.0498	0.0498	1.0000	0.0948
NanoTech	0.05	0.1336	0.0544	1.0000	0.1031
NanoTech	0.10	0.9339	0.4412	0.9806	0.6047
NanoTech	0.15	0.9756	0.6908	0.9548	0.7986
NanoTech	0.20	0.9833	0.7752	0.9419	0.8494
NanoTech	0.25	0.9829	0.8005	0.8839	0.8374
NanoTech	0.30	0.9826	0.8127	0.8516	0.8296
NanoTech	0.35	0.9807	0.8165	0.7936	0.8028
NanoTech	0.40	0.9817	0.8511	0.7678	0.8048
NanoTech	0.45	0.9807	0.8633	0.7290	0.7865
NanoTech	0.50	0.9778	0.8596	0.6645	0.7453
NanoTech	0.55	0.9775	0.8887	0.6258	0.7320
NanoTech	0.60	0.9759	0.8921	0.5871	0.7046
NanoTech	0.65	0.9730	0.8911	0.5226	0.6574
NanoTech	0.70	0.9695	0.9013	0.4387	0.5863
NanoTech	0.75	0.9663	0.8940	0.3677	0.5190
NanoTech	0.80	0.9637	0.8856	0.3097	0.4576
NanoTech	0.85	0.9589	0.8695	0.2065	0.3317
NanoTech	0.90	0.9550	0.8800	0.1161	0.2009
NanoTech	0.95	0.9525	0.8333	0.0645	0.1184
NanoTech	1.00	0.9502	0.0000	0.0000	0.0000
Manufacturing	0.00	0.0482	0.0482	1.0000	0.0919
Manufacturing	0.05	0.0719	0.0490	0.9933	0.0935
Manufacturing	0.10	0.7974	0.1815	0.8867	0.3002
Manufacturing	0.15	0.9194	0.3640	0.8533	0.5077
Manufacturing	0.20	0.9364	0.4290	0.8067	0.5551
Manufacturing	0.25	0.9422	0.4686	0.7733	0.5739
Manufacturing	0.30	0.9460	0.4876	0.7133	0.5701
Manufacturing	0.35	0.9480	0.4969	0.6800	0.5658
Manufacturing	0.40	0.9505	0.5079	0.5933	0.5426
Manufacturing	0.45	0.9512	0.5139	0.5533	0.5280
Manufacturing	0.50	0.9492	0.4988	0.4667	0.4751
Manufacturing	0.55	0.9476	0.4771	0.3933	0.4227
Manufacturing	0.60	0.9483	0.4831	0.3333	0.3859
Manufacturing	0.65	0.9496	0.4998	0.2934	0.3606
Manufacturing	0.70	0.9502	0.4998	0.2334	0.3102
Manufacturing	0.75	0.9509	0.5062	0.1933	0.2756
Manufacturing	0.80	0.9525	0.5545	0.1733	0.2606
Manufacturing	0.85	0.9528	0.5944	0.1333	0.2150
Manufacturing	0.90	0.9531	0.6333	0.0867	0.1508
Manufacturing	0.95	0.9535	0.6833	0.0533	0.0974
Manufacturing	1.00	0.9518	0.0000	0.0000	0.0000
Ecommerce	0.00	0.0655	0.0655	1.0000	0.1230
Ecommerce	0.05	0.1365	0.0703	0.9951	0.1313
Ecommerce	0.10	0.9101	0.4499	0.9313	0.5941
Ecommerce	0.15	0.9772	0.7982	0.9167	0.8460
Ecommerce	0.20	0.9862	0.8901	0.9118	0.8975
Ecommerce	0.25	0.9885	0.9282	0.8972	0.9105
Ecommerce	0.30	0.9888	0.9403	0.8874	0.9115
Ecommerce	0.35	0.9881	0.9531	0.8629	0.9043
Ecommerce	0.40	0.9875	0.9619	0.8432	0.8975
Ecommerce	0.45	0.9871	0.9711	0.8284	0.8929
Ecommerce	0.50	0.9871	0.9769	0.8235	0.8925
Ecommerce	0.55	0.9859	0.9761	0.8040	0.8806
Ecommerce	0.60	0.9836	0.9754	0.7695	0.8593
Ecommerce	0.65	0.9817	0.9809	0.7354	0.8391
Ecommerce	0.70	0.9794	0.9803	0.7010	0.8155
Ecommerce	0.75	0.9772	0.9935	0.6566	0.7869
Ecommerce	0.80	0.9762	0.9935	0.6418	0.7761
Ecommerce	0.85	0.9724	0.9929	0.5829	0.7286
Ecommerce	0.90	0.9666	0.9913	0.4948	0.6535
Ecommerce	0.95	0.9560	1.0000	0.3282	0.4891
Ecommerce	1.00	0.9345	0.0000	0.0000	0.0000
Artificial Intelligence	0.00	0.0633	0.0633	1.0000	0.1190
Artificial Intelligence	0.05	0.1034	0.0657	0.9950	0.1231
Artificial Intelligence	0.10	0.9374	0.5036	0.9649	0.6616
Artificial Intelligence	0.15	0.9724	0.7236	0.9345	0.8137
Artificial Intelligence	0.20	0.9862	0.8697	0.9244	0.8949
Artificial Intelligence	0.25	0.9888	0.9108	0.9141	0.9116
Artificial Intelligence	0.30	0.9885	0.9269	0.8886	0.9064
Artificial Intelligence	0.35	0.9888	0.9451	0.8732	0.9071
Artificial Intelligence	0.40	0.9894	0.9660	0.8629	0.9107
Artificial Intelligence	0.45	0.9894	0.9716	0.8578	0.9103
Artificial Intelligence	0.50	0.9875	0.9702	0.8276	0.8918
Artificial Intelligence	0.55	0.9852	0.9692	0.7918	0.8710
Artificial Intelligence	0.60	0.9833	0.9682	0.7611	0.8517
Artificial Intelligence	0.65	0.9817	0.9674	0.7359	0.8351
Artificial Intelligence	0.70	0.9785	0.9718	0.6800	0.7994
Artificial Intelligence	0.75	0.9759	0.9828	0.6291	0.7658
Artificial Intelligence	0.80	0.9746	0.9820	0.6089	0.7501
Artificial Intelligence	0.85	0.9702	0.9802	0.5381	0.6933
Artificial Intelligence	0.90	0.9672	0.9787	0.4924	0.6541
Artificial Intelligence	0.95	0.9582	0.9857	0.3451	0.5056
Artificial Intelligence	1.00	0.9367	0.0000	0.0000	0.0000
