LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
Smartphones	0.90	0.9470	0.8833	0.1914	0.3091
Smartphones	0.95	0.9438	0.8778	0.1312	0.2257
Smartphones	1.00	0.9364	0.0000	0.0000	0.0000
Internet of Things	0.00	0.0328	0.0328	1.0000	0.0634
Internet of Things	0.05	0.6796	0.0995	0.9310	0.1766
Internet of Things	0.10	0.9509	0.4264	0.8919	0.5644
Internet of Things	0.15	0.9708	0.5523	0.8819	0.6698
Internet of Things	0.20	0.9775	0.6386	0.8624	0.7210
Internet of Things	0.25	0.9830	0.7169	0.8524	0.7688
Internet of Things	0.30	0.9855	0.7574	0.8524	0.7948
Internet of Things	0.35	0.9862	0.7785	0.8424	0.8001
Internet of Things	0.40	0.9872	0.7990	0.8324	0.8088
Internet of Things	0.45	0.9891	0.8505	0.8133	0.8279
Internet of Things	0.50	0.9901	0.8811	0.8033	0.8386
Internet of Things	0.55	0.9904	0.8919	0.8033	0.8428
Internet of Things	0.60	0.9901	0.9053	0.7733	0.8306
Internet of Things	0.65	0.9907	0.9382	0.7633	0.8378
Internet of Things	0.70	0.9888	0.9332	0.7048	0.7989
Internet of Things	0.75	0.9868	0.9240	0.6452	0.7502
Internet of Things	0.80	0.9849	0.9305	0.5771	0.7055
Internet of Things	0.85	0.9830	0.9226	0.5181	0.6551
Internet of Things	0.90	0.9791	0.9041	0.4009	0.5491
Internet of Things	0.95	0.9759	0.9467	0.2824	0.4252
Internet of Things	1.00	0.9672	0.0000	0.0000	0.0000
Social Networks	0.00	0.1490	0.1490	1.0000	0.2594
Social Networks	0.05	0.2097	0.1587	1.0000	0.2738
Social Networks	0.10	0.4515	0.2138	0.9978	0.3520
Social Networks	0.15	0.7017	0.3334	0.9892	0.4983
Social Networks	0.20	0.8866	0.5730	0.9720	0.7197
Social Networks	0.25	0.9425	0.7422	0.9461	0.8308
Social Networks	0.30	0.9525	0.7988	0.9159	0.8519
Social Networks	0.35	0.9586	0.8392	0.8987	0.8662
Social Networks	0.40	0.9602	0.8749	0.8578	0.8651
Social Networks	0.45	0.9589	0.8901	0.8298	0.8575
Social Networks	0.50	0.9557	0.9001	0.7931	0.8421
Social Networks	0.55	0.9499	0.9094	0.7393	0.8143
Social Networks	0.60	0.9480	0.9345	0.7027	0.8003
Social Networks	0.65	0.9406	0.9456	0.6402	0.7614
Social Networks	0.70	0.9307	0.9568	0.5627	0.7055
Social Networks	0.75	0.9232	0.9643	0.5066	0.6610
Social Networks	0.80	0.9136	0.9696	0.4355	0.5988
Social Networks	0.85	0.9056	0.9853	0.3730	0.5385
Social Networks	0.90	0.8886	0.9838	0.2565	0.4052
Social Networks	0.95	0.8680	0.9609	0.1187	0.2079
Social Networks	1.00	0.8510	0.0000	0.0000	0.0000
Battery	0.00	0.0202	0.0202	1.0000	0.0397
Battery	0.05	0.9104	0.1885	0.9846	0.3148
Battery	0.10	0.9830	0.5576	0.9372	0.6936
Battery	0.15	0.9869	0.6324	0.9064	0.7402
Battery	0.20	0.9881	0.6681	0.8897	0.7556
Battery	0.25	0.9885	0.6779	0.8731	0.7563
Battery	0.30	0.9891	0.7014	0.8577	0.7640
Battery	0.35	0.9894	0.7211	0.8269	0.7622
Battery	0.40	0.9897	0.7311	0.8269	0.7681
Battery	0.45	0.9891	0.7226	0.7936	0.7493
Battery	0.50	0.9888	0.7298	0.7295	0.7233
Battery	0.55	0.9881	0.7354	0.6654	0.6934
Battery	0.60	0.9875	0.7559	0.5872	0.6564
Battery	0.65	0.9878	0.7945	0.5539	0.6477
Battery	0.70	0.9862	0.7701	0.4744	0.5816
Battery	0.75	0.9862	0.7941	0.4436	0.5641
Battery	0.80	0.9846	0.8183	0.3346	0.4591
Battery	0.85	0.9833	0.6067	0.2577	0.3608
Battery	0.90	0.9827	0.6100	0.2090	0.3103
Battery	0.95	0.9810	0.6000	0.0821	0.1429
Battery	1.00	0.9798	0.0000	0.0000	0.0000
Driverless Cars	0.00	0.0430	0.0430	1.0000	0.0825
Driverless Cars	0.05	0.7630	0.1633	1.0000	0.2783
Driverless Cars	0.10	0.9843	0.7374	0.9926	0.8452
Driverless Cars	0.15	0.9907	0.8336	0.9852	0.9018
Driverless Cars	0.20	0.9914	0.8524	0.9704	0.9065
Driverless Cars	0.25	0.9933	0.8877	0.9704	0.9264
Driverless Cars	0.30	0.9930	0.8967	0.9481	0.9208
Driverless Cars	0.35	0.9939	0.9215	0.9404	0.9300
Driverless Cars	0.40	0.9942	0.9344	0.9330	0.9328
Driverless Cars	0.45	0.9939	0.9405	0.9182	0.9279
Driverless Cars	0.50	0.9933	0.9458	0.8960	0.9181
Driverless Cars	0.55	0.9923	0.9495	0.8664	0.9029
Driverless Cars	0.60	0.9920	0.9574	0.8513	0.8987
Driverless Cars	0.65	0.9907	0.9544	0.8217	0.8787
Driverless Cars	0.70	0.9881	0.9585	0.7544	0.8371
Driverless Cars	0.75	0.9872	0.9697	0.7242	0.8225
Driverless Cars	0.80	0.9849	0.9667	0.6721	0.7845
Driverless Cars	0.85	0.9798	0.9504	0.5524	0.6845
Driverless Cars	0.90	0.9765	0.9467	0.4704	0.6144
Driverless Cars	0.95	0.9692	0.9133	0.2974	0.4304
Driverless Cars	1.00	0.9570	0.0000	0.0000	0.0000
Wearable Tech	0.00	0.0703	0.0703	1.0000	0.1314
Wearable Tech	0.05	0.1371	0.0754	1.0000	0.1402
Wearable Tech	0.10	0.7630	0.2269	0.9590	0.3659
Wearable Tech	0.15	0.9130	0.4483	0.9362	0.6042
Wearable Tech	0.20	0.9406	0.5552	0.9088	0.6861
Wearable Tech	0.25	0.9531	0.6268	0.8858	0.7296
Wearable Tech	0.30	0.9605	0.6837	0.8540	0.7542
Wearable Tech	0.35	0.9660	0.7328	0.8312	0.7746
Wearable Tech	0.40	0.9698	0.7833	0.8084	0.7901
Wearable Tech	0.45	0.9705	0.8090	0.7674	0.7846
Wearable Tech	0.50	0.9721	0.8487	0.7355	0.7864
Wearable Tech	0.55	0.9714	0.8728	0.6943	0.7721
Wearable Tech	0.60	0.9705	0.8968	0.6533	0.7541
Wearable Tech	0.65	0.9695	0.9230	0.6168	0.7384
Wearable Tech	0.70	0.9682	0.9482	0.5802	0.7185
Wearable Tech	0.75	0.9656	0.9600	0.5345	0.6856
Wearable Tech	0.80	0.9608	0.9790	0.4523	0.6182
Wearable Tech	0.85	0.9557	0.9857	0.3745	0.5419
Wearable Tech	0.90	0.9499	0.9833	0.2925	0.4492
Wearable Tech	0.95	0.9412	1.0000	0.1645	0.2778
Wearable Tech	1.00	0.9297	0.0000	0.0000	0.0000
Virtual Reality and Augmented Reality	0.00	0.0282	0.0282	1.0000	0.0550
Virtual Reality and Augmented Reality	0.05	0.5818	0.0654	0.9667	0.1217
Virtual Reality and Augmented Reality	0.10	0.9258	0.2716	0.8882	0.4087
Virtual Reality and Augmented Reality	0.15	0.9461	0.3370	0.7967	0.4635
Virtual Reality and Augmented Reality	0.20	0.9611	0.4188	0.7621	0.5320
Virtual Reality and Augmented Reality	0.25	0.9679	0.4829	0.7163	0.5662
Virtual Reality and Augmented Reality	0.30	0.9708	0.5151	0.7163	0.5877
Virtual Reality and Augmented Reality	0.35	0.9717	0.5310	0.6824	0.5815
Virtual Reality and Augmented Reality	0.40	0.9730	0.5468	0.6477	0.5785
Virtual Reality and Augmented Reality	0.45	0.9746	0.5648	0.6144	0.5662
Virtual Reality and Augmented Reality	0.50	0.9746	0.5630	0.5798	0.5509
Virtual Reality and Augmented Reality	0.55	0.9756	0.6082	0.5353	0.5298
Virtual Reality and Augmented Reality	0.60	0.9756	0.6039	0.4889	0.5068
Virtual Reality and Augmented Reality	0.65	0.9769	0.7006	0.4327	0.4767
Virtual Reality and Augmented Reality	0.70	0.9766	0.6978	0.3863	0.4475
Virtual Reality and Augmented Reality	0.75	0.9756	0.6862	0.3301	0.4040
Virtual Reality and Augmented Reality	0.80	0.9759	0.7200	0.2726	0.3667
Virtual Reality and Augmented Reality	0.85	0.9756	0.7511	0.2150	0.3151
Virtual Reality and Augmented Reality	0.90	0.9759	0.7911	0.2150	0.3182
Virtual Reality and Augmented Reality	0.95	0.9746	0.6267	0.1484	0.2363
Virtual Reality and Augmented Reality	1.00	0.9718	0.0000	0.0000	0.0000
Drone	0.00	0.0465	0.0465	1.0000	0.0890
Drone	0.05	0.3651	0.0686	1.0000	0.1283
Drone	0.10	0.9570	0.5349	0.9931	0.6907
Drone	0.15	0.9749	0.6637	0.9724	0.7859
Drone	0.20	0.9801	0.7266	0.9448	0.8166
Drone	0.25	0.9830	0.7632	0.9379	0.8374
Drone	0.30	0.9830	0.7687	0.9241	0.8346
Drone	0.35	0.9823	0.7740	0.8896	0.8241
Drone	0.40	0.9820	0.7866	0.8483	0.8142
Drone	0.45	0.9797	0.7861	0.7793	0.7806
Drone	0.50	0.9785	0.7949	0.7310	0.7587
Drone	0.55	0.9765	0.8101	0.6552	0.7214
Drone	0.60	0.9762	0.8162	0.6414	0.7145
Drone	0.65	0.9762	0.8325	0.6207	0.7086
Drone	0.70	0.9740	0.8362	0.5517	0.6619
Drone	0.75	0.9733	0.8400	0.5310	0.6477
Drone	0.80	0.9701	0.8450	0.4414	0.5763
Drone	0.85	0.9695	0.8875	0.4000	0.5475
Drone	0.90	0.9679	0.9113	0.3448	0.4975
Drone	0.95	0.9631	0.9214	0.2276	0.3644
Drone	1.00	0.9535	0.0000	0.0000	0.0000
NanoTech	0.00	0.0498	0.0498	1.0000	0.0948
NanoTech	0.05	0.1856	0.0576	1.0000	0.1090
NanoTech	0.10	0.9021	0.3488	0.9935	0.5123
NanoTech	0.15	0.9750	0.6798	0.9806	0.8000
NanoTech	0.20	0.9817	0.7541	0.9484	0.8387
NanoTech	0.25	0.9829	0.7928	0.8968	0.8393
NanoTech	0.30	0.9836	0.8160	0.8710	0.8410
NanoTech	0.35	0.9823	0.8366	0.8065	0.8186
NanoTech	0.40	0.9823	0.8545	0.7806	0.8131
NanoTech	0.45	0.9814	0.8695	0.7355	0.7932
NanoTech	0.50	0.9781	0.8590	0.6710	0.7496
NanoTech	0.55	0.9765	0.8777	0.6129	0.7190
NanoTech	0.60	0.9765	0.8936	0.6000	0.7147
NanoTech	0.65	0.9743	0.8962	0.5484	0.6781
NanoTech	0.70	0.9692	0.8978	0.4323	0.5800
NanoTech	0.75	0.9663	0.8940	0.3677	0.5190
NanoTech	0.80	0.9637	0.8816	0.3097	0.4562
NanoTech	0.85	0.9589	0.8636	0.2064	0.3304
NanoTech	0.90	0.9560	0.9048	0.1355	0.2295
NanoTech	0.95	0.9528	0.8667	0.0645	0.1191
NanoTech	1.00	0.9502	0.0000	0.0000	0.0000
Manufacturing	0.00	0.0482	0.0482	1.0000	0.0919
Manufacturing	0.05	0.1243	0.0518	0.9933	0.0985
Manufacturing	0.10	0.8128	0.1955	0.9000	0.3201
Manufacturing	0.15	0.9136	0.3470	0.8600	0.4926
Manufacturing	0.20	0.9303	0.4068	0.8133	0.5369
Manufacturing	0.25	0.9390	0.4491	0.7733	0.5598
Manufacturing	0.30	0.9416	0.4648	0.7533	0.5661
Manufacturing	0.35	0.9438	0.4731	0.6867	0.5517
Manufacturing	0.40	0.9492	0.4985	0.6333	0.5528
Manufacturing	0.45	0.9505	0.5061	0.5667	0.5301
Manufacturing	0.50	0.9483	0.4860	0.4733	0.4738
Manufacturing	0.55	0.9480	0.4772	0.4000	0.4284
Manufacturing	0.60	0.9476	0.4794	0.3467	0.3933
Manufacturing	0.65	0.9502	0.5106	0.2867	0.3593
Manufacturing	0.70	0.9493	0.4841	0.2400	0.3109
Manufacturing	0.75	0.9506	0.4978	0.2000	0.2797
Manufacturing	0.80	0.9528	0.5605	0.1800	0.2673
Manufacturing	0.85	0.9531	0.5933	0.1267	0.2059
Manufacturing	0.90	0.9541	0.6943	0.1000	0.1730
Manufacturing	0.95	0.9535	0.6833	0.0533	0.0974
Manufacturing	1.00	0.9518	0.0000	0.0000	0.0000
Ecommerce	0.00	0.0655	0.0655	1.0000	0.1230
Ecommerce	0.05	0.2155	0.0769	0.9951	0.1427
Ecommerce	0.10	0.9188	0.4585	0.9460	0.6118
Ecommerce	0.15	0.9733	0.7564	0.9216	0.8244
Ecommerce	0.20	0.9849	0.8783	0.9070	0.8890
Ecommerce	0.25	0.9872	0.9140	0.8923	0.9013
Ecommerce	0.30	0.9888	0.9403	0.8874	0.9115
Ecommerce	0.35	0.9878	0.9483	0.8629	0.9020
Ecommerce	0.40	0.9865	0.9477	0.8432	0.8906
Ecommerce	0.45	0.9855	0.9513	0.8235	0.8810
Ecommerce	0.50	0.9855	0.9513	0.8235	0.8810
Ecommerce	0.55	0.9846	0.9501	0.8089	0.8723
Ecommerce	0.60	0.9823	0.9527	0.7696	0.8499
Ecommerce	0.65	0.9807	0.9559	0.7402	0.8327
Ecommerce	0.70	0.9791	0.9742	0.7010	0.8132
Ecommerce	0.75	0.9772	0.9935	0.6566	0.7869
Ecommerce	0.80	0.9756	0.9933	0.6320	0.7687
Ecommerce	0.85	0.9724	0.9929	0.5829	0.7286
Ecommerce	0.90	0.9666	0.9913	0.4946	0.6526
Ecommerce	0.95	0.9563	1.0000	0.3332	0.4956
Ecommerce	1.00	0.9345	0.0000	0.0000	0.0000
Artificial Intelligence	0.00	0.0633	0.0633	1.0000	0.1190
Artificial Intelligence	0.05	0.2052	0.0734	0.9950	0.1368
Artificial Intelligence	0.10	0.9249	0.4563	0.9648	0.6193
Artificial Intelligence	0.15	0.9708	0.7052	0.9346	0.8025
Artificial Intelligence	0.20	0.9862	0.8637	0.9295	0.8950
Artificial Intelligence	0.25	0.9881	0.9084	0.9038	0.9058
Artificial Intelligence	0.30	0.9885	0.9274	0.8886	0.9065
Artificial Intelligence	0.35	0.9894	0.9609	0.8681	0.9112
Artificial Intelligence	0.40	0.9894	0.9657	0.8629	0.9108
Artificial Intelligence	0.45	0.9897	0.9718	0.8629	0.9132
Artificial Intelligence	0.50	0.9875	0.9704	0.8274	0.8920
Artificial Intelligence	0.55	0.9846	0.9690	0.7817	0.8643
Artificial Intelligence	0.60	0.9839	0.9746	0.7663	0.8574
Artificial Intelligence	0.65	0.9811	0.9734	0.7206	0.8276
Artificial Intelligence	0.70	0.9782	0.9783	0.6697	0.7944
Artificial Intelligence	0.75	0.9759	0.9828	0.6291	0.7658
Artificial Intelligence	0.80	0.9740	0.9820	0.5987	0.7427
Artificial Intelligence	0.85	0.9689	0.9798	0.5177	0.6767
Artificial Intelligence	0.90	0.9672	0.9787	0.4923	0.6541
Artificial Intelligence	0.95	0.9573	0.9857	0.3299	0.4860
Artificial Intelligence	1.00	0.9367	0.0000	0.0000	0.0000
