LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
Virtual Reality and Augmented Reality	0.45	0.9711	0.5238	0.6928	0.5847
Virtual Reality and Augmented Reality	0.50	0.9717	0.5307	0.6706	0.5780
Virtual Reality and Augmented Reality	0.55	0.9733	0.5470	0.6484	0.5773
Virtual Reality and Augmented Reality	0.60	0.9753	0.5858	0.6137	0.5766
Virtual Reality and Augmented Reality	0.65	0.9756	0.5797	0.5471	0.5367
Virtual Reality and Augmented Reality	0.70	0.9749	0.5848	0.4784	0.4910
Virtual Reality and Augmented Reality	0.75	0.9766	0.6894	0.4667	0.5030
Virtual Reality and Augmented Reality	0.80	0.9759	0.6871	0.3752	0.4371
Virtual Reality and Augmented Reality	0.85	0.9762	0.7167	0.3412	0.4238
Virtual Reality and Augmented Reality	0.90	0.9769	0.7655	0.2732	0.3698
Virtual Reality and Augmented Reality	0.95	0.9759	0.8111	0.2039	0.3044
Virtual Reality and Augmented Reality	1.00	0.9718	0.0000	0.0000	0.0000
Drone	0.00	0.0465	0.0465	1.0000	0.0890
Drone	0.05	0.7893	0.1868	1.0000	0.3134
Drone	0.10	0.9640	0.5860	0.9793	0.7266
Drone	0.15	0.9772	0.6830	0.9724	0.8002
Drone	0.20	0.9807	0.7313	0.9448	0.8214
Drone	0.25	0.9823	0.7527	0.9379	0.8321
Drone	0.30	0.9833	0.7652	0.9379	0.8396
Drone	0.35	0.9836	0.7709	0.9310	0.8402
Drone	0.40	0.9833	0.7743	0.9172	0.8353
Drone	0.45	0.9826	0.7780	0.8896	0.8261
Drone	0.50	0.9817	0.7788	0.8552	0.8117
Drone	0.55	0.9804	0.7757	0.8207	0.7949
Drone	0.60	0.9791	0.7799	0.7724	0.7730
Drone	0.65	0.9775	0.7848	0.7172	0.7466
Drone	0.70	0.9762	0.7823	0.6828	0.7257
Drone	0.75	0.9765	0.8053	0.6621	0.7231
Drone	0.80	0.9772	0.8376	0.6414	0.7227
Drone	0.85	0.9749	0.8407	0.5724	0.6798
Drone	0.90	0.9724	0.8431	0.5034	0.6276
Drone	0.95	0.9676	0.8673	0.3655	0.5088
Drone	1.00	0.9535	0.0000	0.0000	0.0000
NanoTech	0.00	0.0498	0.0498	1.0000	0.0948
NanoTech	0.05	0.4576	0.0841	1.0000	0.1552
NanoTech	0.10	0.9403	0.4652	0.9871	0.6289
NanoTech	0.15	0.9753	0.6806	0.9806	0.8012
NanoTech	0.20	0.9833	0.7699	0.9548	0.8511
NanoTech	0.25	0.9855	0.8113	0.9290	0.8649
NanoTech	0.30	0.9852	0.8211	0.9032	0.8583
NanoTech	0.35	0.9842	0.8178	0.8839	0.8479
NanoTech	0.40	0.9839	0.8245	0.8645	0.8426
NanoTech	0.45	0.9826	0.8239	0.8323	0.8265
NanoTech	0.50	0.9813	0.8380	0.7807	0.8048
NanoTech	0.55	0.9820	0.8615	0.7613	0.8040
NanoTech	0.60	0.9814	0.8747	0.7290	0.7912
NanoTech	0.65	0.9794	0.8693	0.6903	0.7673
NanoTech	0.70	0.9778	0.8792	0.6452	0.7411
NanoTech	0.75	0.9762	0.8863	0.6000	0.7137
NanoTech	0.80	0.9749	0.8973	0.5613	0.6894
NanoTech	0.85	0.9711	0.9019	0.4710	0.6180
NanoTech	0.90	0.9660	0.8909	0.3613	0.5133
NanoTech	0.95	0.9602	0.8943	0.2258	0.3593
NanoTech	1.00	0.9502	0.0000	0.0000	0.0000
Manufacturing	0.00	0.0482	0.0482	1.0000	0.0919
Manufacturing	0.05	0.3597	0.0680	0.9667	0.1270
Manufacturing	0.10	0.8211	0.2023	0.9000	0.3294
Manufacturing	0.15	0.8982	0.3121	0.8800	0.4589
Manufacturing	0.20	0.9181	0.3544	0.8267	0.4947
Manufacturing	0.25	0.9303	0.4017	0.8000	0.5305
Manufacturing	0.30	0.9364	0.4316	0.7733	0.5477
Manufacturing	0.35	0.9406	0.4503	0.7400	0.5534
Manufacturing	0.40	0.9438	0.4654	0.7133	0.5579
Manufacturing	0.45	0.9480	0.4920	0.6800	0.5649
Manufacturing	0.50	0.9502	0.5051	0.6266	0.5554
Manufacturing	0.55	0.9505	0.5071	0.5933	0.5418
Manufacturing	0.60	0.9505	0.5085	0.5533	0.5238
Manufacturing	0.65	0.9496	0.5002	0.4733	0.4775
Manufacturing	0.70	0.9496	0.4947	0.4067	0.4388
Manufacturing	0.75	0.9473	0.4625	0.3200	0.3690
Manufacturing	0.80	0.9486	0.4802	0.2667	0.3321
Manufacturing	0.85	0.9512	0.5499	0.2200	0.3033
Manufacturing	0.90	0.9502	0.5223	0.1533	0.2284
Manufacturing	0.95	0.9518	0.5476	0.0933	0.1574
Manufacturing	1.00	0.9518	0.0000	0.0000	0.0000
Ecommerce	0.00	0.0655	0.0655	1.0000	0.1230
Ecommerce	0.05	0.5087	0.1175	0.9851	0.2098
Ecommerce	0.10	0.9309	0.5009	0.9411	0.6478
Ecommerce	0.15	0.9721	0.7377	0.9264	0.8165
Ecommerce	0.20	0.9814	0.8252	0.9216	0.8676
Ecommerce	0.25	0.9859	0.8799	0.9167	0.8956
Ecommerce	0.30	0.9878	0.9143	0.9021	0.9068
Ecommerce	0.35	0.9888	0.9399	0.8874	0.9117
Ecommerce	0.40	0.9885	0.9494	0.8726	0.9077
Ecommerce	0.45	0.9875	0.9489	0.8578	0.8989
Ecommerce	0.50	0.9875	0.9529	0.8529	0.8985
Ecommerce	0.55	0.9865	0.9566	0.8333	0.8891
Ecommerce	0.60	0.9859	0.9561	0.8235	0.8832
Ecommerce	0.65	0.9852	0.9554	0.8138	0.8777
Ecommerce	0.70	0.9859	0.9772	0.8040	0.8810
Ecommerce	0.75	0.9852	0.9821	0.7894	0.8740
Ecommerce	0.80	0.9826	0.9813	0.7501	0.8486
Ecommerce	0.85	0.9807	0.9858	0.7159	0.8275
Ecommerce	0.90	0.9756	0.9935	0.6320	0.7688
Ecommerce	0.95	0.9698	0.9929	0.5436	0.6976
Ecommerce	1.00	0.9345	0.0000	0.0000	0.0000
Artificial Intelligence	0.00	0.0633	0.0633	1.0000	0.1190
Artificial Intelligence	0.05	0.5121	0.1144	0.9900	0.2050
Artificial Intelligence	0.10	0.9233	0.4524	0.9648	0.6151
Artificial Intelligence	0.15	0.9692	0.6881	0.9446	0.7954
Artificial Intelligence	0.20	0.9830	0.8253	0.9295	0.8737
Artificial Intelligence	0.25	0.9872	0.8778	0.9295	0.9018
Artificial Intelligence	0.30	0.9888	0.9109	0.9141	0.9115
Artificial Intelligence	0.35	0.9891	0.9227	0.9039	0.9124
Artificial Intelligence	0.40	0.9888	0.9362	0.8833	0.9084
Artificial Intelligence	0.45	0.9881	0.9398	0.8681	0.9015
Artificial Intelligence	0.50	0.9891	0.9668	0.8579	0.9079
Artificial Intelligence	0.55	0.9878	0.9658	0.8375	0.8955
Artificial Intelligence	0.60	0.9869	0.9702	0.8173	0.8860
Artificial Intelligence	0.65	0.9849	0.9690	0.7867	0.8674
Artificial Intelligence	0.70	0.9846	0.9690	0.7817	0.8643
Artificial Intelligence	0.75	0.9830	0.9736	0.7512	0.8474
Artificial Intelligence	0.80	0.9804	0.9791	0.7052	0.8191
Artificial Intelligence	0.85	0.9753	0.9746	0.6240	0.7584
Artificial Intelligence	0.90	0.9724	0.9811	0.5733	0.7225
Artificial Intelligence	0.95	0.9653	0.9762	0.4615	0.6240
Artificial Intelligence	1.00	0.9367	0.0000	0.0000	0.0000
